frame_no,quadrant,color,box
394,3,raw_umber,"[1416, 717, 1522, 815]"
394,1,burnt_sienna,"[1042, 706, 1182, 836]"
394,4,raw_umber,"[1032, 192, 1171, 328]"
395,3,raw_umber,"[1420, 715, 1529, 816]"
395,1,dim_gray,"[1043, 706, 1183, 840]"
395,4,raw_umber,"[1032, 191, 1172, 328]"
396,3,raw_umber,"[1426, 715, 1529, 814]"
396,1,burnt_sienna,"[1048, 709, 1182, 840]"
396,4,raw_umber,"[1032, 191, 1171, 328]"
397,3,raw_umber,"[1428, 715, 1536, 817]"
397,1,burnt_sienna,"[1048, 711, 1182, 842]"
397,4,raw_umber,"[1033, 191, 1170, 328]"
398,3,raw_umber,"[1427, 716, 1541, 819]"
398,4,raw_umber,"[1032, 191, 1171, 327]"
399,3,raw_umber,"[1428, 720, 1540, 823]"
399,4,raw_umber,"[1032, 191, 1171, 327]"
400,3,raw_umber,"[1425, 724, 1537, 828]"
400,1,burnt_sienna,"[1045, 716, 1177, 847]"
400,4,raw_umber,"[1032, 191, 1170, 327]"
401,3,raw_umber,"[1426, 733, 1536, 838]"
401,4,raw_umber,"[1032, 191, 1170, 327]"
402,3,burnt_sienna,"[1423, 741, 1536, 848]"
402,4,raw_umber,"[1032, 191, 1170, 327]"
403,4,raw_umber,"[1032, 191, 1171, 327]"
404,3,burnt_sienna,"[1420, 761, 1523, 859]"
404,4,raw_umber,"[1033, 191, 1171, 327]"
405,3,burnt_sienna,"[1419, 771, 1521, 870]"
405,4,raw_umber,"[1032, 191, 1171, 327]"
406,3,burnt_sienna,"[1411, 782, 1515, 881]"
406,4,raw_umber,"[1033, 191, 1170, 327]"
407,3,burnt_sienna,"[1407, 794, 1509, 891]"
407,4,raw_umber,"[1032, 191, 1171, 328]"
408,3,burnt_sienna,"[1404, 802, 1506, 902]"
408,4,raw_umber,"[1033, 192, 1170, 328]"
409,3,burnt_sienna,"[1402, 813, 1501, 910]"
409,4,raw_umber,"[1033, 192, 1169, 327]"
410,3,burnt_sienna,"[1398, 820, 1498, 920]"
410,4,raw_umber,"[1034, 191, 1169, 327]"
411,3,burnt_sienna,"[1395, 832, 1497, 930]"
411,1,burnt_sienna,"[1050, 732, 1179, 863]"
411,4,raw_umber,"[1034, 191, 1170, 327]"
412,3,burnt_sienna,"[1393, 840, 1495, 939]"
412,1,burnt_sienna,"[1049, 733, 1179, 863]"
412,4,raw_umber,"[1034, 191, 1170, 327]"
413,3,burnt_sienna,"[1392, 844, 1492, 944]"
413,4,raw_umber,"[1033, 191, 1170, 327]"
414,3,burnt_sienna,"[1392, 844, 1493, 946]"
414,1,burnt_sienna,"[1050, 737, 1179, 867]"
414,4,raw_umber,"[1034, 191, 1170, 326]"
415,3,burnt_sienna,"[1394, 841, 1496, 944]"
415,1,dim_gray,"[1050, 738, 1180, 870]"
415,4,raw_umber,"[1033, 192, 1170, 327]"
416,3,burnt_sienna,"[1396, 837, 1498, 936]"
416,1,dim_gray,"[1052, 739, 1182, 872]"
